row_index,base_value,predicted_value,model_prediction,additive_consistent,feature_name,feature_value,shap_value,direction
0,18.887224,15.111292403244018,15.104076385498047,True,demand_lag_14,20.0,0.5310879349708557,positive
0,18.887224,15.111292403244018,15.104076385498047,True,demand_lag_28,19.0,0.5112448334693909,positive
0,18.887224,15.111292403244018,15.104076385498047,True,inventory_change_1d,421.0,0.15475764870643616,positive
0,18.887224,15.111292403244018,15.104076385498047,True,demand_rolling_min_7,15.0,0.13910715281963348,positive
0,18.887224,15.111292403244018,15.104076385498047,True,demand_momentum_7_28,0.8520408163265306,0.12104583531618118,positive
0,18.887224,15.111292403244018,15.104076385498047,True,unit_gross_margin_dollar,64.1,0.12004102021455765,positive
0,18.887224,15.111292403244018,15.104076385498047,True,week_cos,0.8854560256532099,0.11005695164203644,positive
0,18.887224,15.111292403244018,15.104076385498047,True,price_rolling_mean_28,145.76464285714286,0.10181435942649841,positive
0,18.887224,15.111292403244018,15.104076385498047,True,demand_rolling_max_14,44.0,0.06087222322821617,positive
0,18.887224,15.111292403244018,15.104076385498047,True,competitor_price,144.08,0.05852949246764183,positive
0,18.887224,15.111292403244018,15.104076385498047,True,day_of_week,6.0,-1.867576241493225,negative
0,18.887224,15.111292403244018,15.104076385498047,True,demand_lag_7,19.0,-1.6356276273727417,negative
0,18.887224,15.111292403244018,15.104076385498047,True,price_to_cost_markup,1.6967391304347825,-0.31740060448646545,negative
0,18.887224,15.111292403244018,15.104076385498047,True,price_deviation_rolling_7,6.28714285714284,-0.2137608677148819,negative
0,18.887224,15.111292403244018,15.104076385498047,True,dow_sin,-0.7818314824680299,-0.20347477495670319,negative
0,18.887224,15.111292403244018,15.104076385498047,True,price_lag_1,154.97,-0.14515617489814758,negative
0,18.887224,15.111292403244018,15.104076385498047,True,demand_rolling_mean_7,23.857142857142858,-0.13943524658679962,negative
0,18.887224,15.111292403244018,15.104076385498047,True,revenue_lag_1,2324.55,-0.13494105637073517,negative
0,18.887224,15.111292403244018,15.104076385498047,True,price_deviation_rolling_28,10.335357142857134,-0.12936170399188995,negative
0,18.887224,15.111292403244018,15.104076385498047,True,day_of_year,25.0,-0.1263943910598755,negative
1,18.887224,8.445957940124512,8.438746452331543,True,day_of_week,0.0,0.35960614681243896,positive
1,18.887224,8.445957940124512,8.438746452331543,True,week_sin,-0.46472317204376806,0.22533723711967468,positive
1,18.887224,8.445957940124512,8.438746452331543,True,competitor_spread_pct,-11.555710670971116,0.04624814912676811,positive
1,18.887224,8.445957940124512,8.438746452331543,True,price_rolling_mean_28,508.02392857142866,0.03273237869143486,positive
1,18.887224,8.445957940124512,8.438746452331543,True,price_deviation_rolling_7,-5.952857142857226,0.02835058979690075,positive
1,18.887224,8.445957940124512,8.438746452331543,True,dow_sin,0.0,0.021895181387662888,positive
1,18.887224,8.445957940124512,8.438746452331543,True,month_sin,-0.4999999999999997,0.020925145596265793,positive
1,18.887224,8.445957940124512,8.438746452331543,True,competitor_price_ratio,0.8844428932902888,0.02091665379703045,positive
1,18.887224,8.445957940124512,8.438746452331543,True,demand_momentum_7_28,0.9760765550239234,0.01775519922375679,positive
1,18.887224,8.445957940124512,8.438746452331543,True,competitor_price_diff,-66.21999999999997,0.01044460665434599,positive
1,18.887224,8.445957940124512,8.438746452331543,True,demand_lag_7,8.0,-3.5414462089538574,negative
1,18.887224,8.445957940124512,8.438746452331543,True,demand_lag_14,8.0,-2.0205280780792236,negative
1,18.887224,8.445957940124512,8.438746452331543,True,demand_lag_28,9.0,-1.783254861831665,negative
1,18.887224,8.445957940124512,8.438746452331543,True,log_price,6.2281756416437295,-0.8018277883529663,negative
1,18.887224,8.445957940124512,8.438746452331543,True,demand_rolling_mean_28,7.464285714285714,-0.7267227172851562,negative
1,18.887224,8.445957940124512,8.438746452331543,True,demand_rolling_mean_14,7.214285714285714,-0.38596439361572266,negative
1,18.887224,8.445957940124512,8.438746452331543,True,demand_rolling_mean_7,7.285714285714286,-0.23976777493953705,negative
