group,n_obs,pearson_r,pearson_p,spearman_rho,spearman_p,is_significant_05
SKU-1090-CAB,1095,-0.088100,0.003536,-0.071200,0.018389,True
SKU-3320-SENS,1095,-0.424500,0.000000,-0.377600,0.000000,True
SKU-4412-MTR,1095,-0.212400,0.000000,-0.195200,0.000000,True
SKU-7731-SFT,1095,-0.164600,0.000000,-0.150700,0.000001,True
SKU-8921-PRO,1095,-0.359800,0.000000,-0.309900,0.000000,True
